ProductName,Stars,Ratings,Price,ROM,Camera,Processorr,Liquid_Retina_HD,Super_Retina_XDR
4,4.6,95977,43900,64,1,0,1,0
4,4.6,95977,48900,128,1,0,1,0
0,4.6,95977,48900,128,1,0,1,0
1,4.6,95977,48900,128,1,0,1,0
0,4.6,95977,43900,64,1,0,1,0
2,4.6,95977,48900,128,1,0,1,0
26,5.0,4,139900,256,2,5,0,1
31,4.5,152,30499,64,0,1,0,0
3,4.6,95977,43900,64,1,0,1,0
27,5.0,4,139900,256,2,5,0,1
26,5.0,4,129900,128,2,5,0,1
32,4.5,152,35499,128,0,1,0,0
32,4.5,152,30499,64,0,1,0,0
3,4.6,95977,48900,128,1,0,1,0
2,4.6,95977,43900,64,1,0,1,0
23,0.0,0,99900,256,1,3,0,1
29,5.0,3,79900,128,1,3,0,1
1,4.6,95977,43900,64,1,0,1,0
19,4.6,12509,69900,128,1,4,0,1
12,4.6,12509,69900,128,1,4,0,1
28,5.0,3,79900,128,1,3,0,1
18,4.6,12509,69900,128,1,4,0,1
11,4.6,12509,69900,128,1,4,0,1
22,0.0,0,99900,256,1,3,0,1
23,0.0,0,99900,256,1,3,0,1
14,4.5,2188,64900,128,1,4,0,1
9,4.6,181,64900,128,1,2,0,1
21,5.0,3,79900,128,1,3,0,1
20,4.6,12494,69900,128,1,4,0,1
6,4.6,181,64900,128,1,2,0,1
7,4.6,181,64900,128,1,2,0,1
13,4.5,2188,64900,128,1,4,0,1
28,5.0,3,89900,256,1,3,0,1
33,4.6,95955,49900,64,1,0,1,0
21,5.0,3,89900,256,1,3,0,1
30,4.5,152,35499,128,0,1,0,0
5,4.6,95955,48900,128,1,0,1,0
10,4.6,181,64900,128,1,2,0,1
25,0.0,0,149900,256,2,5,0,1
15,4.5,2188,64900,128,1,4,0,1
24,0.0,0,129900,128,2,5,0,1
22,0.0,0,99900,256,1,3,0,1
22,0.0,0,89900,128,1,3,0,1
17,4.5,2188,64900,128,1,4,0,1
8,4.5,101,55359,64,1,2,0,1
9,4.6,181,59900,64,1,2,0,1
8,4.5,101,59999,128,1,2,0,1
16,4.5,2188,64900,128,1,4,0,1
